0,1
IAM_Words\c04\c04-105\c04-105-00-06.png,is
IAM_Words\d06\d06-056\d06-056-08-01.png,careful
IAM_Words\g04\g04-095\g04-095-01-08.png,and
IAM_Words\r06\r06-022\r06-022-05-06.png,.
IAM_Words\j04\j04-015\j04-015-01-02.png,be
IAM_Words\m04\m04-123\m04-123-09-06.png,distant
IAM_Words\l04\l04-124\l04-124-06-01.png,arrangement
IAM_Words\r03\r03-007\r03-007-07-03.png,whole
IAM_Words\m01\m01-026\m01-026-03-06.png,Heather
IAM_Words\m02\m02-090\m02-090-05-03.png,ago
IAM_Words\h04\h04-061\h04-061-03-02.png,households
IAM_Words\h02\h02-037\h02-037-02-02.png,the
IAM_Words\b04\b04-047\b04-047-00-11.png,to
IAM_Words\g01\g01-088\g01-088-08-04.png,provided
IAM_Words\d04\d04-111\d04-111-07-03.png,gives
IAM_Words\h02\h02-035\h02-035-03-07.png,substances
IAM_Words\g06\g06-031p\g06-031p-04-06.png,that
IAM_Words\a05\a05-108\a05-108-01-08.png,.
IAM_Words\e06\e06-033\e06-033-02-12.png,east-
IAM_Words\c06\c06-047\c06-047-03-10.png,to
IAM_Words\e04\e04-011\e04-011-07-04.png,pins
IAM_Words\g06\g06-018k\g06-018k-06-07.png,temperature
IAM_Words\l01\l01-050\l01-050-01-02.png,.
IAM_Words\p06\p06-058\p06-058-10-00.png,solace
IAM_Words\a06\a06-134\a06-134-05-00.png,hotbed
IAM_Words\n02\n02-040\n02-040-06-08.png,of
IAM_Words\j06\j06-018\j06-018-09-00.png,one
IAM_Words\m06\m06-106\m06-106-06-05.png,.
IAM_Words\d04\d04-071\d04-071-01-04.png,house
IAM_Words\c03\c03-000f\c03-000f-03-05.png,Mr.
IAM_Words\r06\r06-027\r06-027-00-04.png,in
IAM_Words\e06\e06-026\e06-026-08-03.png,herring
IAM_Words\h01\h01-010\h01-010-01-07.png,for
IAM_Words\p02\p02-008\p02-008-10-04.png,that
IAM_Words\g06\g06-011n\g06-011n-01-04.png,He
IAM_Words\h02\h02-024\h02-024-01-02.png,anaesthetists
IAM_Words\c03\c03-007\c03-007-03-00.png,and
IAM_Words\h06\h06-085\h06-085-07-05.png,outside
IAM_Words\h04\h04-000\h04-000-02-04.png,those
IAM_Words\e01\e01-107\e01-107-06-00.png,piece
IAM_Words\h01\h01-027\h01-027-07-05.png,of
IAM_Words\k07\k07-077\k07-077-01-06.png,now
IAM_Words\r06\r06-003\r06-003-03-09.png,.
IAM_Words\a06\a06-114\a06-114-01-00.png,food
IAM_Words\d01\d01-019\d01-019-03-03.png,on
IAM_Words\l04\l04-052\l04-052-06-07.png,half
IAM_Words\c03\c03-007b\c03-007b-06-02.png,""""
IAM_Words\c01\c01-066\c01-066-06-02.png,a
IAM_Words\j07\j07-000\j07-000-01-00.png,obtained
IAM_Words\j07\j07-009\j07-009-03-03.png,two
IAM_Words\b05\b05-067\b05-067-02-00.png,when
IAM_Words\d04\d04-047\d04-047-05-03.png,the
IAM_Words\m04\m04-123\m04-123-10-02.png,her
IAM_Words\c06\c06-095\c06-095-00-08.png,this
IAM_Words\d05\d05-021\d05-021-01-02.png,mood
IAM_Words\h07\h07-063b\h07-063b-00-05.png,on
IAM_Words\b04\b04-089\b04-089-02-04.png,bring
IAM_Words\d04\d04-117\d04-117-04-04.png,who
IAM_Words\b03\b03-098\b03-098-06-02.png,have
IAM_Words\c02\c02-000\c02-000-07-06.png,have
IAM_Words\d03\d03-112\d03-112-06-01.png,happier
IAM_Words\g06\g06-011r\g06-011r-03-03.png,'
IAM_Words\a06\a06-064\a06-064-04-07.png,his
IAM_Words\m04\m04-081\m04-081-01-04.png,demanding
IAM_Words\n04\n04-209\n04-209-00-01.png,light
IAM_Words\r06\r06-126\r06-126-04-01.png,in
IAM_Words\j04\j04-115\j04-115-00-00.png,A
IAM_Words\f02\f02-044\f02-044-03-04.png,wages
IAM_Words\k07\k07-166\k07-166-08-00.png,quite
IAM_Words\r02\r02-006\r02-006-03-03.png,were
IAM_Words\k07\k07-146\k07-146-06-06.png,well
IAM_Words\g01\g01-039\g01-039-07-00.png,means
IAM_Words\f01\f01-058\f01-058-09-00.png,of
IAM_Words\f07\f07-039a\f07-039a-01-04.png,sovereign
IAM_Words\d04\d04-016\d04-016-03-03.png,the
IAM_Words\g07\g07-044\g07-044-10-07.png,career
IAM_Words\e01\e01-055\e01-055-09-02.png,stepped
IAM_Words\m02\m02-090\m02-090-06-04.png,to
IAM_Words\p03\p03-096\p03-096-03-08.png,I
IAM_Words\c03\c03-007\c03-007-02-00.png,and
IAM_Words\l04\l04-163\l04-163-04-07.png,.
IAM_Words\h04\h04-082\h04-082-05-06.png,other
IAM_Words\a04\a04-092\a04-092-08-01.png,","
IAM_Words\c06\c06-083\c06-083-08-00.png,hotel
IAM_Words\g07\g07-050\g07-050-06-03.png,by
IAM_Words\m04\m04-100\m04-100-05-08.png,.
IAM_Words\r03\r03-056\r03-056-05-03.png,.
IAM_Words\d06\d06-008\d06-008-06-05.png,a
IAM_Words\c03\c03-007f\c03-007f-03-06.png,school
IAM_Words\c03\c03-021c\c03-021c-08-06.png,looking
IAM_Words\l01\l01-016\l01-016-03-06.png,real
IAM_Words\g02\g02-062\g02-062-09-00.png,ventricular
IAM_Words\g04\g04-104\g04-104-00-07.png,was
IAM_Words\e07\e07-066\e07-066-05-08.png,only
IAM_Words\n02\n02-157\n02-157-04-04.png,sunken
IAM_Words\g01\g01-039\g01-039-01-08.png,four-
IAM_Words\b05\b05-042\b05-042-08-08.png,the
IAM_Words\e02\e02-000\e02-000-02-02.png,used
IAM_Words\r06\r06-022\r06-022-02-07.png,When
IAM_Words\h04\h04-007\h04-007-03-07.png,The
IAM_Words\g07\g07-003a\g07-003a-04-04.png,WHO
IAM_Words\g04\g04-081\g04-081-01-04.png,come
IAM_Words\g06\g06-018f\g06-018f-05-01.png,high
IAM_Words\n02\n02-109\n02-109-07-05.png,him
IAM_Words\m04\m04-123\m04-123-06-05.png,lights
IAM_Words\g04\g04-011\g04-011-01-08.png,and
IAM_Words\m02\m02-095\m02-095-03-04.png,","
IAM_Words\c02\c02-017\c02-017-06-02.png,an
IAM_Words\a01\a01-026x\a01-026x-06-00.png,and
IAM_Words\c03\c03-081a\c03-081a-08-08.png,of
IAM_Words\n03\n03-091\n03-091-00-09.png,raised
IAM_Words\e04\e04-114\e04-114-06-08.png,chines
IAM_Words\d05\d05-008\d05-008-00-02.png,century
IAM_Words\a01\a01-003u\a01-003u-08-01.png,of
IAM_Words\a02\a02-046\a02-046-06-06.png,in
IAM_Words\e04\e04-019\e04-019-04-01.png,the
IAM_Words\g06\g06-018a\g06-018a-01-03.png,","
IAM_Words\g06\g06-026n\g06-026n-07-02.png,the
IAM_Words\a04\a04-027\a04-027-01-07.png,.
IAM_Words\b06\b06-097\b06-097-04-02.png,days
IAM_Words\m02\m02-055\m02-055-03-04.png,to
IAM_Words\n02\n02-109\n02-109-04-00.png,through
IAM_Words\d01\d01-049\d01-049-06-01.png,and
IAM_Words\g06\g06-047b\g06-047b-01-04.png,a
IAM_Words\r02\r02-070\r02-070-05-01.png,NO.
IAM_Words\a02\a02-072\a02-072-05-02.png,a
IAM_Words\c03\c03-096a\c03-096a-03-04.png,of
IAM_Words\b02\b02-097\b02-097-07-03.png,of
IAM_Words\h04\h04-049\h04-049-00-06.png,the
IAM_Words\f04\f04-020\f04-020-00-01.png,both
IAM_Words\a01\a01-132x\a01-132x-07-07.png,receiving
IAM_Words\d06\d06-011\d06-011-04-04.png,under
IAM_Words\n04\n04-213\n04-213-01-07.png,a
IAM_Words\m04\m04-081\m04-081-02-01.png,nonplussed
IAM_Words\g06\g06-018b\g06-018b-06-03.png,journey
IAM_Words\p02\p02-115\p02-115-04-05.png,.
IAM_Words\k04\k04-119\k04-119-04-05.png,the
IAM_Words\m01\m01-100\m01-100-04-00.png,their
IAM_Words\n02\n02-098\n02-098-07-06.png,conversation
IAM_Words\e06\e06-030\e06-030-04-02.png,one
IAM_Words\c04\c04-116\c04-116-03-04.png,","
IAM_Words\a05\a05-004\a05-004-00-07.png,which
IAM_Words\c03\c03-021c\c03-021c-00-07.png,by
IAM_Words\f01\f01-135\f01-135-08-05.png,quite
IAM_Words\k04\k04-163\k04-163-02-12.png,sharp
IAM_Words\b01\b01-089\b01-089-02-01.png,in
IAM_Words\m01\m01-090\m01-090-07-01.png,keep
IAM_Words\a01\a01-038\a01-038-08-04.png,They
IAM_Words\m03\m03-118\m03-118-00-00.png,But
IAM_Words\a05\a05-094\a05-094-04-07.png,""""
IAM_Words\p06\p06-088\p06-088-07-00.png,touched
IAM_Words\g07\g07-077a\g07-077a-00-02.png,Byron
IAM_Words\a06\a06-090\a06-090-01-00.png,Common
IAM_Words\f07\f07-092a\f07-092a-06-05.png,back
IAM_Words\f04\f04-079\f04-079-00-01.png,her
IAM_Words\g05\g05-087\g05-087-02-06.png,might
IAM_Words\c04\c04-160\c04-160-02-08.png,have
IAM_Words\g04\g04-072\g04-072-07-02.png,men
IAM_Words\b06\b06-093\b06-093-09-01.png,subsides
IAM_Words\n06\n06-092\n06-092-00-10.png,'ve
IAM_Words\f04\f04-083\f04-083-05-06.png,Mary
IAM_Words\m01\m01-060\m01-060-05-09.png,eyes
IAM_Words\g07\g07-000b\g07-000b-03-00.png,and
IAM_Words\c03\c03-016d\c03-016d-08-07.png,lover
IAM_Words\a01\a01-030u\a01-030u-04-06.png,to
IAM_Words\p02\p02-109\p02-109-04-06.png,I
IAM_Words\e01\e01-113\e01-113-05-01.png,broad
IAM_Words\a05\a05-048\a05-048-00-02.png,polling
IAM_Words\n02\n02-114\n02-114-06-08.png,You
IAM_Words\c03\c03-094b\c03-094b-01-05.png,Allen
IAM_Words\h07\h07-013\h07-013-06-07.png,the
IAM_Words\h07\h07-000\h07-000-02-08.png,.
IAM_Words\a04\a04-023\a04-023-02-00.png,guests
IAM_Words\e07\e07-072\e07-072-05-05.png,used
IAM_Words\b04\b04-116\b04-116-04-01.png,wonder
IAM_Words\b01\b01-009\b01-009-06-00.png,it
IAM_Words\a01\a01-007\a01-007-01-04.png,.
IAM_Words\a02\a02-024\a02-024-00-07.png,in
IAM_Words\a01\a01-077u\a01-077u-05-04.png,missile
IAM_Words\f07\f07-036\f07-036-04-04.png,flowers
IAM_Words\a04\a04-031\a04-031-07-02.png,.
IAM_Words\l07\l07-111\l07-111-06-03.png,hardly
IAM_Words\g07\g07-028a\g07-028a-06-02.png,his
IAM_Words\b02\b02-102\b02-102-00-07.png,been
IAM_Words\l04\l04-179\l04-179-05-10.png,...
IAM_Words\g06\g06-011b\g06-011b-08-06.png,:
IAM_Words\n02\n02-082a\n02-082a-01-04.png,","
IAM_Words\g01\g01-031\g01-031-10-07.png,","
IAM_Words\r02\r02-070\r02-070-02-05.png,holding
IAM_Words\c04\c04-089\c04-089-03-06.png,tacks
IAM_Words\f07\f07-076a\f07-076a-01-06.png,and
IAM_Words\p02\p02-027\p02-027-01-00.png,would
IAM_Words\d04\d04-047\d04-047-05-05.png,","
IAM_Words\d06\d06-113\d06-113-04-03.png,.
IAM_Words\a01\a01-049x\a01-049x-05-04.png,Southern
IAM_Words\d06\d06-008\d06-008-00-04.png,pushes
IAM_Words\g01\g01-022\g01-022-07-04.png,WHICH
IAM_Words\g06\g06-026k\g06-026k-05-06.png,Duke
IAM_Words\j06\j06-005\j06-005-04-02.png,1800-2200
IAM_Words\k04\k04-039\k04-039-02-06.png,'
IAM_Words\f07\f07-006\f07-006-01-09.png,his
IAM_Words\p06\p06-248\p06-248-04-03.png,at
IAM_Words\g07\g07-003b\g07-003b-03-03.png,to
IAM_Words\a05\a05-108\a05-108-07-01.png,heaped
IAM_Words\h01\h01-018\h01-018-04-05.png,occupation
IAM_Words\h07\h07-030a\h07-030a-05-02.png,But
IAM_Words\d06\d06-046\d06-046-05-04.png,like
IAM_Words\c02\c02-056\c02-056-00-03.png,at
IAM_Words\n04\n04-171\n04-171-04-00.png,""""
IAM_Words\g04\g04-043\g04-043-00-07.png,little
IAM_Words\g06\g06-018h\g06-018h-06-00.png,temperature
IAM_Words\m01\m01-038\m01-038-04-02.png,imaginary
IAM_Words\n04\n04-060\n04-060-01-08.png,other
IAM_Words\g06\g06-026m\g06-026m-01-06.png,perhaps
IAM_Words\g07\g07-007a\g07-007a-06-05.png,UTTERMOST
IAM_Words\f04\f04-007\f04-007-00-01.png,had
IAM_Words\k07\k07-085\k07-085-02-12.png,to
IAM_Words\m06\m06-091\m06-091-03-11.png,'
IAM_Words\d04\d04-111\d04-111-10-05.png,which
IAM_Words\g06\g06-047o\g06-047o-05-04.png,the
IAM_Words\g06\g06-037h\g06-037h-04-08.png,a
IAM_Words\m01\m01-160\m01-160-03-01.png,to
IAM_Words\k07\k07-134\k07-134-04-01.png,in
IAM_Words\p03\p03-072\p03-072-02-14.png,laughed
IAM_Words\b01\b01-027\b01-027-08-00.png,dropped
IAM_Words\h07\h07-066a\h07-066a-05-04.png,been
IAM_Words\h07\h07-054a\h07-054a-06-03.png,a
IAM_Words\n03\n03-113\n03-113-08-03.png,wetter
IAM_Words\a05\a05-108\a05-108-02-03.png,had
IAM_Words\b06\b06-032\b06-032-01-02.png,.
IAM_Words\m04\m04-093\m04-093-06-02.png,""""
IAM_Words\l04\l04-163\l04-163-06-01.png,or
IAM_Words\r06\r06-003\r06-003-03-03.png,but
IAM_Words\e04\e04-079\e04-079-03-02.png,floor
IAM_Words\p01\p01-147\p01-147-07-08.png,When
IAM_Words\g06\g06-042h\g06-042h-04-03.png,","
IAM_Words\g04\g04-077\g04-077-04-10.png,known
IAM_Words\m04\m04-164\m04-164-06-08.png,.
IAM_Words\l01\l01-187\l01-187-05-01.png,to
IAM_Words\h01\h01-030\h01-030-04-02.png,households
IAM_Words\a01\a01-049u\a01-049u-02-05.png,current
IAM_Words\l07\l07-074\l07-074-04-10.png,at
IAM_Words\r06\r06-121\r06-121-09-07.png,thought
IAM_Words\n06\n06-163\n06-163-07-05.png,hot
IAM_Words\g06\g06-031i\g06-031i-01-03.png,I
IAM_Words\a05\a05-089\a05-089-03-05.png,wailings
IAM_Words\d07\d07-096\d07-096-00-00.png,Or
IAM_Words\l01\l01-119\l01-119-00-03.png,met
IAM_Words\k07\k07-085\k07-085-04-09.png,that
IAM_Words\g06\g06-018r\g06-018r-04-02.png,The
IAM_Words\h07\h07-080\h07-080-01-00.png,employees
IAM_Words\d06\d06-008\d06-008-01-03.png,so
IAM_Words\g04\g04-095\g04-095-04-01.png,St.
IAM_Words\e06\e06-010\e06-010-00-09.png,the
IAM_Words\g06\g06-042p\g06-042p-03-02.png,the
IAM_Words\g06\g06-011a\g06-011a-09-06.png,the
IAM_Words\b01\b01-113\b01-113-03-03.png,being
IAM_Words\n06\n06-186\n06-186-04-00.png,necks
IAM_Words\a05\a05-004\a05-004-01-03.png,the
IAM_Words\g01\g01-043\g01-043-04-05.png,whom
IAM_Words\g01\g01-074\g01-074-03-00.png,John
IAM_Words\b04\b04-187\b04-187-05-04.png,launched
IAM_Words\m03\m03-095\m03-095-06-05.png,","
IAM_Words\b04\b04-128\b04-128-01-02.png,engineering
IAM_Words\g06\g06-045o\g06-045o-00-00.png,In
IAM_Words\c04\c04-105\c04-105-04-04.png,faith
IAM_Words\f04\f04-087\f04-087-04-03.png,","
IAM_Words\n06\n06-194\n06-194-03-00.png,2ain't
IAM_Words\c06\c06-128\c06-128-08-03.png,rifle
IAM_Words\a04\a04-006\a04-006-04-08.png,had
IAM_Words\a06\a06-008\a06-008-04-01.png,an
IAM_Words\p02\p02-144\p02-144-08-00.png,her
IAM_Words\k07\k07-125\k07-125-05-09.png,be
IAM_Words\a01\a01-117u\a01-117u-00-01.png,fact
IAM_Words\f07\f07-096\f07-096-03-05.png,beer
IAM_Words\c04\c04-080\c04-080-01-00.png,um-chink
IAM_Words\c02\c02-022\c02-022-08-01.png,.
IAM_Words\h02\h02-024\h02-024-00-04.png,part
IAM_Words\e04\e04-103\e04-103-06-02.png,to
IAM_Words\f07\f07-042b\f07-042b-04-06.png,of
IAM_Words\k02\k02-117\k02-117-01-10.png,","
IAM_Words\b04\b04-004\b04-004-07-07.png,So
IAM_Words\a01\a01-091u\a01-091u-04-05.png,heavy
IAM_Words\c03\c03-000d\c03-000d-01-00.png,play
IAM_Words\d04\d04-032\d04-032-05-01.png,make
IAM_Words\r02\r02-038\r02-038-01-00.png,disdainfully
IAM_Words\a02\a02-116\a02-116-08-00.png,jailed
IAM_Words\c03\c03-087d\c03-087d-09-01.png,characters
IAM_Words\h07\h07-063b\h07-063b-07-08.png,)
IAM_Words\e06\e06-030\e06-030-04-08.png,","
IAM_Words\a01\a01-007x\a01-007x-05-02.png,African
IAM_Words\d04\d04-066\d04-066-08-00.png,children
IAM_Words\m06\m06-048\m06-048-07-02.png,down
IAM_Words\g02\g02-062\g02-062-05-08.png,that
IAM_Words\p02\p02-022\p02-022-03-08.png,then
IAM_Words\r06\r06-137\r06-137-04-03.png,of
IAM_Words\f07\f07-069\f07-069-07-01.png,the
IAM_Words\d07\d07-085\d07-085-01-00.png,we
IAM_Words\m01\m01-125\m01-125-03-06.png,So
IAM_Words\j04\j04-046\j04-046-00-02.png,and
IAM_Words\b03\b03-098\b03-098-09-01.png,of
IAM_Words\k04\k04-115\k04-115-05-07.png,became
IAM_Words\k02\k02-029\k02-029-01-01.png,if
IAM_Words\g06\g06-045m\g06-045m-04-02.png,extraordinary
IAM_Words\f03\f03-182\f03-182-06-03.png,its
IAM_Words\d06\d06-063\d06-063-03-01.png,live
IAM_Words\n04\n04-218\n04-218-00-03.png,testing
IAM_Words\d06\d06-111\d06-111-03-09.png,most
IAM_Words\g06\g06-042j\g06-042j-03-05.png,on
IAM_Words\b06\b06-008\b06-008-09-04.png,ally
IAM_Words\m03\m03-062\m03-062-04-00.png,hesitation
IAM_Words\n06\n06-111\n06-111-07-06.png,Crossing
IAM_Words\k07\k07-085\k07-085-00-00.png,No
IAM_Words\k04\k04-050\k04-050-06-00.png,bound
IAM_Words\c02\c02-000\c02-000-04-09.png,The
IAM_Words\g01\g01-043\g01-043-05-00.png,officials
IAM_Words\k07\k07-158\k07-158-02-03.png,physical
IAM_Words\a02\a02-017\a02-017-07-03.png,held
IAM_Words\c03\c03-021e\c03-021e-01-09.png,young
IAM_Words\n06\n06-133\n06-133-06-06.png,can
IAM_Words\m01\m01-131\m01-131-01-08.png,and
IAM_Words\g06\g06-011a\g06-011a-03-07.png,he
IAM_Words\g06\g06-011a\g06-011a-08-05.png,a
IAM_Words\a01\a01-026u\a01-026u-08-03.png,Minister
IAM_Words\c04\c04-105\c04-105-05-04.png,gets
IAM_Words\m06\m06-091\m06-091-00-02.png,!
IAM_Words\a06\a06-008\a06-008-01-03.png,an
IAM_Words\g06\g06-045n\g06-045n-09-02.png,Hahnemann
IAM_Words\m04\m04-238\m04-238-00-12.png,.
IAM_Words\j06\j06-018\j06-018-02-04.png,of
IAM_Words\n06\n06-119\n06-119-03-05.png,like
IAM_Words\b01\b01-073\b01-073-03-03.png,its
IAM_Words\g06\g06-018c\g06-018c-01-07.png,for
IAM_Words\d04\d04-053\d04-053-07-06.png,","
IAM_Words\f04\f04-093\f04-093-07-04.png,him
IAM_Words\a03\a03-047\a03-047-06-02.png,chancery
IAM_Words\e07\e07-079\e07-079-06-02.png,have
IAM_Words\e01\e01-059\e01-059-01-05.png,in
IAM_Words\r06\r06-049\r06-049-05-00.png,that
IAM_Words\g06\g06-042g\g06-042g-03-02.png,death
IAM_Words\b04\b04-175\b04-175-04-02.png,have
IAM_Words\g06\g06-042m\g06-042m-01-05.png,cure
IAM_Words\j01\j01-059\j01-059-00-06.png,E
IAM_Words\g06\g06-045m\g06-045m-02-05.png,to
IAM_Words\a01\a01-128u\a01-128u-08-01.png,proposed
IAM_Words\n04\n04-209\n04-209-07-00.png,some
IAM_Words\a04\a04-019\a04-019-06-08.png,and
IAM_Words\m06\m06-067\m06-067-03-04.png,'
IAM_Words\j06\j06-000\j06-000-02-01.png,stage
IAM_Words\m06\m06-067\m06-067-01-13.png,the
IAM_Words\g06\g06-037m\g06-037m-04-02.png,opened
IAM_Words\m01\m01-110\m01-110-05-04.png,without
IAM_Words\c06\c06-005\c06-005-07-06.png,an
IAM_Words\k02\k02-062\k02-062-07-00.png,of
IAM_Words\n03\n03-038\n03-038-00-06.png,into
IAM_Words\f04\f04-057\f04-057-04-09.png,of
IAM_Words\e07\e07-086\e07-086-05-05.png,which
IAM_Words\c03\c03-007d\c03-007d-04-00.png,play-grounds
IAM_Words\c03\c03-084a\c03-084a-05-05.png,Paul
IAM_Words\b01\b01-018\b01-018-08-00.png,who
IAM_Words\g06\g06-011k\g06-011k-01-04.png,Cloncurry
IAM_Words\d06\d06-096\d06-096-02-05.png,find
IAM_Words\p03\p03-029\p03-029-08-00.png,had
IAM_Words\a04\a04-092\a04-092-01-07.png,with
IAM_Words\n02\n02-146\n02-146-01-12.png,sorts
IAM_Words\d04\d04-125\d04-125-00-07.png,our
IAM_Words\l04\l04-000\l04-000-03-10.png,the
IAM_Words\h07\h07-063a\h07-063a-03-04.png,be
IAM_Words\m03\m03-110\m03-110-03-05.png,the
IAM_Words\l04\l04-130\l04-130-04-08.png,with
IAM_Words\c06\c06-058\c06-058-03-07.png,fragment
IAM_Words\g06\g06-045b\g06-045b-07-03.png,studied
IAM_Words\g06\g06-042m\g06-042m-06-01.png,brought
IAM_Words\c03\c03-081a\c03-081a-03-06.png,she
IAM_Words\b04\b04-116\b04-116-06-02.png,in
IAM_Words\a06\a06-124\a06-124-03-08.png,shows
IAM_Words\a05\a05-113\a05-113-04-02.png,findings
IAM_Words\r03\r03-090\r03-090-04-01.png,are
IAM_Words\h04\h04-025\h04-025-00-00.png,For
IAM_Words\e07\e07-012\e07-012-06-01.png,able
IAM_Words\n04\n04-060\n04-060-01-04.png,gin
IAM_Words\a01\a01-043x\a01-043x-06-00.png,will
IAM_Words\e01\e01-081\e01-081-02-02.png,Place
IAM_Words\b04\b04-081\b04-081-00-07.png,?
IAM_Words\b04\b04-169\b04-169-02-01.png,teenagers
IAM_Words\a02\a02-102\a02-102-01-02.png,King
IAM_Words\g06\g06-042k\g06-042k-01-02.png,","
IAM_Words\a06\a06-036\a06-036-07-09.png,.
IAM_Words\d01\d01-049\d01-049-02-10.png,exhibit
IAM_Words\e02\e02-117\e02-117-08-00.png,readers
IAM_Words\b05\b05-038\b05-038-04-03.png,firm
IAM_Words\b05\b05-067\b05-067-03-09.png,","
IAM_Words\c03\c03-003b\c03-003b-02-07.png,the
IAM_Words\a01\a01-077\a01-077-01-02.png,Dr.
IAM_Words\a01\a01-122\a01-122-04-00.png,industry
IAM_Words\r06\r06-111\r06-111-05-03.png,houses
IAM_Words\g06\g06-031j\g06-031j-01-03.png,I
IAM_Words\a03\a03-014\a03-014-04-00.png,ister
IAM_Words\h07\h07-033a\h07-033a-10-06.png,to
IAM_Words\m04\m04-012\m04-012-04-01.png,was
IAM_Words\n06\n06-133\n06-133-08-01.png,him
IAM_Words\j04\j04-015\j04-015-01-00.png,precipitates
IAM_Words\k03\k03-144\k03-144-00-03.png,at
IAM_Words\r03\r03-115\r03-115-01-06.png,","
IAM_Words\g06\g06-037b\g06-037b-09-01.png,which
IAM_Words\b04\b04-040\b04-040-01-07.png,was
IAM_Words\g01\g01-025\g01-025-09-01.png,Revolt
IAM_Words\c06\c06-020\c06-020-04-03.png,And
IAM_Words\d06\d06-104\d06-104-09-02.png,on
IAM_Words\g06\g06-011o\g06-011o-09-01.png,my
IAM_Words\g06\g06-105\g06-105-01-03.png,time
IAM_Words\c02\c02-030\c02-030-08-05.png,society
IAM_Words\h01\h01-010\h01-010-05-05.png,Welsh
IAM_Words\f02\f02-076\f02-076-05-04.png,3
IAM_Words\c03\c03-021b\c03-021b-02-05.png,a
IAM_Words\c06\c06-138\c06-138-08-03.png,emotionalism
IAM_Words\b04\b04-040\b04-040-04-01.png,lacking
IAM_Words\a04\a04-015\a04-015-06-07.png,interests
IAM_Words\r06\r06-007\r06-007-04-06.png,with
IAM_Words\j06\j06-014\j06-014-03-02.png,Stages
IAM_Words\h07\h07-063b\h07-063b-06-05.png,the
IAM_Words\n04\n04-156\n04-156-04-02.png,a
IAM_Words\l04\l04-012\l04-012-05-05.png,him
IAM_Words\c03\c03-096d\c03-096d-01-03.png,motives
IAM_Words\c04\c04-056\c04-056-05-03.png,by
IAM_Words\r06\r06-070\r06-070-03-00.png,in
IAM_Words\m01\m01-026\m01-026-04-01.png,to
IAM_Words\a02\a02-037\a02-037-05-02.png,adequate
IAM_Words\a06\a06-025\a06-025-00-02.png,TUC
IAM_Words\f07\f07-088b\f07-088b-05-09.png,bread
IAM_Words\a01\a01-091u\a01-091u-03-00.png,on
IAM_Words\g07\g07-003a\g07-003a-01-05.png,TO
IAM_Words\e06\e06-006\e06-006-06-04.png,the
IAM_Words\r06\r06-062\r06-062-05-04.png,the
IAM_Words\a04\a04-089\a04-089-07-05.png,but
IAM_Words\g06\g06-037o\g06-037o-10-04.png,had
IAM_Words\m02\m02-052\m02-052-05-01.png,Dreyfus
IAM_Words\b04\b04-000\b04-000-04-04.png,Lumumba
IAM_Words\l07\l07-118\l07-118-05-02.png,'s
IAM_Words\k02\k02-102\k02-102-05-13.png,drinks
IAM_Words\p01\p01-155\p01-155-07-06.png,of
IAM_Words\d04\d04-086\d04-086-02-07.png,the
IAM_Words\p03\p03-069\p03-069-06-06.png,...
IAM_Words\n04\n04-084\n04-084-06-05.png,was
IAM_Words\b05\b05-083\b05-083-03-00.png,of
IAM_Words\g06\g06-031r\g06-031r-02-11.png,I
IAM_Words\p03\p03-023\p03-023-00-00.png,She
IAM_Words\a04\a04-085\a04-085-08-02.png,this
IAM_Words\g07\g07-022a\g07-022a-02-02.png,visit
IAM_Words\a05\a05-022\a05-022-06-05.png,National
IAM_Words\b04\b04-096\b04-096-04-09.png,POWER
IAM_Words\f02\f02-038\f02-038-00-00.png,The
IAM_Words\b04\b04-181\b04-181-00-03.png,doubt
IAM_Words\h07\h07-025\h07-025-06-00.png,has
IAM_Words\n02\n02-104\n02-104-05-03.png,absolutely
IAM_Words\f07\f07-088a\f07-088a-02-03.png,the
IAM_Words\r03\r03-110\r03-110-08-07.png,and
IAM_Words\g04\g04-039\g04-039-04-07.png,St.
IAM_Words\g06\g06-031m\g06-031m-02-04.png,country
IAM_Words\g04\g04-081\g04-081-02-10.png,all
IAM_Words\j06\j06-008\j06-008-10-02.png,met
IAM_Words\k07\k07-077\k07-077-00-07.png,down
IAM_Words\k04\k04-022\k04-022-02-02.png,'
IAM_Words\a06\a06-014\a06-014-07-03.png,Communist
IAM_Words\d01\d01-104\d01-104-02-06.png,use
IAM_Words\g07\g07-007b\g07-007b-03-07.png,.
IAM_Words\b01\b01-113\b01-113-03-02.png,not
IAM_Words\h04\h04-071\h04-071-00-02.png,expenditure
IAM_Words\c04\c04-080\c04-080-04-02.png,Lisbon
IAM_Words\j04\j04-046\j04-046-03-02.png,some
IAM_Words\b02\b02-102\b02-102-01-05.png,paralysing
IAM_Words\e04\e04-043\e04-043-04-03.png,8
IAM_Words\g06\g06-018l\g06-018l-03-01.png,","
IAM_Words\a05\a05-108\a05-108-07-00.png,scorn
IAM_Words\a04\a04-010\a04-010-02-06.png,Labour
IAM_Words\f07\f07-092b\f07-092b-01-04.png,to
IAM_Words\g06\g06-011h\g06-011h-09-03.png,troops
IAM_Words\m02\m02-087\m02-087-01-08.png,the
IAM_Words\c04\c04-028\c04-028-02-00.png,herrings
IAM_Words\n03\n03-103\n03-103-00-02.png,to
IAM_Words\g06\g06-047o\g06-047o-01-05.png,Anglesey
